year,Value
800,25
1000,20
1150,50
1200,110
1250,160
1292,216
1300,228
1328,274
1350,215
1382,300
1400,280
1418,280
1450,150
1467,174
1500,185
1550,210
1575,220
1590,220
1596,230
1600,245
1637,412
1650,455
1675,540
1683,559
1700,530
1714,509.64
1748,553
1750,556
1756,576.63
1775,600.6
1800,547
1801,547.756
1825,855
1846,1270
1850,1314
1851,1325
1875,2250
1900,3330
1914,4000
1925,4800
1950,5900
1970,8875
1975,9400
1980,8669
2015,10843
