,City,Latitude,Longitude,Value,Year,VAL
5712,Istanbul,41.005275,28.976944,700.0,1700,0.018420567879792637
5713,Tokyo,35.6895,139.69171,688.0,1700,0.01810478671613905
5714,Beijing,39.9075,116.39723,650.0,1700,0.01710481303123602
5715,London,51.511214,-0.119825,550.0,1700,0.014473303334122787
5716,Paris,48.856614,2.352222,530.0,1700,0.01394700139470014
5717,Ahmedabad,23.039568,72.566004,385.0,1700,0.01013131233388595
5718,Osaka,34.693216,135.502082,380.0,1700,0.00999973684903029
5720,Kyoto,35.02107,135.75385,350.0,1700,0.009210283939896318
5719,Esfahan,32.651389,51.679192,350.0,1700,0.009210283939896318
5721,Hangzhou,30.25,120.166667,303.0,1700,0.007973474382253098
