,City,Latitude,Longitude,Value,Year,VAL
7732,Nanjing,32.05,118.766667,487.0,1400,0.012815452224941449
7733,Vijayanagar,15.335,76.462,400.0,1400,0.010526038788452935
7734,Cairo,30.06263,31.24967,360.0,1400,0.009473434909607642
7735,Paris,48.856614,2.352222,280.0,1400,0.007368227151917055
7736,Hangzhou,30.25,120.166667,240.0,1400,0.006315623273071762
7737,Beijing,39.9075,116.39723,150.0,1400,0.003947264545669851
7738,Guangzhou,23.11667,113.25,150.0,1400,0.003947264545669851
7739,Kyoto,35.02107,135.75385,150.0,1400,0.003947264545669851
7740,Tabriz,38.08,46.2919,150.0,1400,0.003947264545669851
7741,Samarkand,39.6576,66.947561,130.0,1400,0.003420962606247204
