,City,Latitude,Longitude,Value,Year,VAL
467,New York,40.714353,-74.005972,12463.0,1950,0.32796505355122235
468,London,51.511214,-0.119825,8860.0,1950,0.23315175916423253
469,Tokyo,35.6895,139.69171,7000.0,1950,0.18420567879792638
470,Paris,48.856614,2.352222,5900.0,1950,0.1552590721296808
471,Shanghai,31.22222,121.45806,5406.0,1950,0.14225941422594143
472,Moscow,55.75222,37.61556,5100.0,1950,0.13420699455277493
473,Buenos Aires,-34.61315,-58.37723,5000.0,1950,0.1315754848556617
474,Chicago,41.85003,-87.65005,4906.0,1950,0.12910186574037524
475,Ruhr,51.407415,6.862626,4900.0,1950,0.12894397515854847
476,Calcutta,22.56263,88.36304,4800.0,1950,0.12631246546143524
